23/08/18, 11:02 - John: You're weird
23/08/18, 11:02 - Jane: How?
23/08/18, 11:03 - John: Just are y'know
23/08/18, 11:03 - Jane: Oki
23/08/18, 11:04 - Jane: Well I tried to text you on kik but
23/08/18, 11:04 - Jane: My texts aren�t sending
23/08/18, 11:04 - John: Oh yeah
23/08/18, 11:04 - John: I didn't read that
23/08/18, 11:04 - John: You're not as weird now
23/08/18, 11:04 - Jane: Yee
23/08/18, 11:05 - Jane: Oh oki
23/08/18, 11:05 - John: I don't really like WhatsApp tho cause it says when you're online
23/08/18, 11:05 - Jane: My contacts are fucking to my eyes
23/08/18, 11:05 - John: And I'm always online
23/08/18, 11:05 - Jane: ...and why�s that a problem
23/08/18, 11:05 - Jane: Oh
23/08/18, 11:05 - Jane: Oki
23/08/18, 11:06 - John: Oke
23/08/18, 11:06 - John: Just wear glasses
24/08/18, 22:48 - John: Hi
24/08/18, 22:48 - Jane: Omg
24/08/18, 22:48 - Jane: Shookness
24/08/18, 22:48 - Jane: I called another person
24/08/18, 22:48 - Jane: Stop
24/08/18, 22:48 - Jane: It�s so loud
24/08/18, 22:48 - John: Ok
24/08/18, 22:49 - Jane: Fucking hell
24/08/18, 22:49 - Jane: Woke up the whole house
24/08/18, 22:49 - John: Lol
24/08/18, 22:50 - Jane: Started laughing
24/08/18, 22:50 - Jane: Omg
24/08/18, 22:50 - Jane: He sounds like a gun
24/08/18, 22:50 - John: Did you hear him?
24/08/18, 22:50 - Jane: Like bullets be flying over there
24/08/18, 22:50 - John: Lol
24/08/18, 22:50 - Jane: Jeez
24/08/18, 22:50 - John: Did you hear his purring tho?
24/08/18, 22:50 - Jane: That�s scary
24/08/18, 22:50 - Jane: Yes
24/08/18, 22:50 - Jane: It�s scary
24/08/18, 22:50 - John: It's so nice
24/08/18, 22:50 - Jane: Can I hear again?
24/08/18, 22:50 - John: Ok
24/08/18, 22:51 - Jane: Omg
24/08/18, 22:51 - John: Woops
24/08/18, 22:51 - Jane: I started laughing again
24/08/18, 22:51 - Jane: I looked at your profile
24/08/18, 22:51 - Jane: Pic
24/08/18, 22:52 - Jane: And started laughing
24/08/18, 22:52 - John: Hell yeah
24/08/18, 22:52 - Jane: Stupid Jane
24/08/18, 22:52 - Jane: Why you saying whoops
24/08/18, 22:52 - Jane: Woops?
24/08/18, 22:52 - John: I made a howing noise
24/08/18, 22:52 - Jane: O
24/08/18, 22:52 - John: And then giggled
24/08/18, 22:52 - John: And then you hung up
24/08/18, 22:52 - Jane: His purring is too loud
24/08/18, 22:52 - Jane: I can�t hear youuuuuu
24/08/18, 22:53 - Jane: Wait
24/08/18, 22:53 - Jane: Where�s my cat
24/08/18, 22:53 - John: Yess
24/08/18, 22:53 - Jane: In the wardrobe
24/08/18, 22:53 - Jane: Holdup
24/08/18, 22:53 - John: Get her
24/08/18, 22:53 - Jane: Ugh
24/08/18, 22:53 - Jane: I�m blind
24/08/18, 22:53 - John: ??
24/08/18, 22:54 - John: If you can't do it it's fine
24/08/18, 22:54 - Jane: Can you not
24/08/18, 22:54 - John: Wait
24/08/18, 22:55 - Jane: It�s so loud
24/08/18, 22:55 - John: I'm just trying to figure out how to get it on speaker
24/08/18, 22:55 - Jane: Just press the ??
24/08/18, 22:55 - Jane: Lol
24/08/18, 22:55 - John: You got her?
24/08/18, 22:55 - Jane: No
24/08/18, 22:56 - Jane: Everything is black in my wardrobe
24/08/18, 22:56 - Jane: She is also black
24/08/18, 22:56 - John: Lol
24/08/18, 22:56 - Jane: Everything blends together
24/08/18, 23:14 - Jane: My dad normally rips one off me
24/08/18, 23:15 - Jane: When I ignore them
24/08/18, 23:15 - Jane: So I have like 63929 spares
24/08/18, 23:15 - John: Neato
24/08/18, 23:15 - Jane: Peatoe
24/08/18, 23:15 - John: You have a nice room
24/08/18, 23:15 - Jane: Skidoo
24/08/18, 23:15 - Jane: No
24/08/18, 23:15 - Jane: Not really
24/08/18, 23:16 - Jane: It�s actually ok tho
24/08/18, 23:16 - Jane: It�s big
24/08/18, 23:16 - Jane: That�s it
24/08/18, 23:16 - John: Big is good
24/08/18, 23:16 - John: I can sleep over
24/08/18, 23:16 - Jane: But I really hate white furniture
24/08/18, 23:16 - Jane: And my mum s it
24/08/18, 23:17 - Jane: So my room has white painted shit in it
24/08/18, 23:17 - Jane: I prefer wood lol
24/08/18, 23:17 - Jane: Not painted
24/08/18, 23:17 - John: Wood much better
24/08/18, 23:17 - John: Yeah
24/08/18, 23:17 - John: Stained wood
24/08/18, 23:17 - Jane: Yee
24/08/18, 23:17 - Jane: I�m slowly transforming my room
24/08/18, 23:17 - Jane: Do wood
24/08/18, 23:18 - Jane: To*
24/08/18, 23:18 - Jane: Anyways
24/08/18, 23:18 - Jane: This isn�t important
24/08/18, 23:18 - Jane: Are you sleepy?
24/08/18, 23:18 - Jane: My eyebrow hurts
24/08/18, 23:18 - John: Little bit
24/08/18, 23:19 - John: I actually think I'll go for a walk tho
24/08/18, 23:19 - Jane: Lucky
24/08/18, 23:19 - John: I like the night
24/08/18, 23:19 - Jane: Where to?
24/08/18, 23:19 - John: To the river
24/08/18, 23:19 - Jane: Is that far
24/08/18, 23:19 - Jane: Be careful
24/08/18, 23:19 - John: An hour maybe
24/08/18, 23:19 - Jane: Be careful
24/08/18, 23:19 - Jane: Is the area you live in ok
24/08/18, 23:20 - John: Ooo
24/08/18, 23:20 - John: Maybe I'll drownnn
24/08/18, 23:20 - Jane: Or not??
24/08/18, 23:20 - John: Hold up
24/08/18, 23:20 - Jane: But maybe
24/08/18, 23:20 - John: Let me check the stats
24/08/18, 23:20 - Jane: Stats?
24/08/18, 23:21 - John: Idk
24/08/18, 23:22 - John: People drown in that river a lot
24/08/18, 23:22 - John: No one's allowed to swim in it because it's too dangerous
24/08/18, 23:22 - Jane: Ooo
24/08/18, 23:22 - Jane: Maybe Brandon James is in there
24/08/18, 23:22 - Jane: Hehe
24/08/18, 23:23 - John: Or I'll just go to bed
24/08/18, 23:23 - John: You decide
24/08/18, 23:23 - John: Walk or bed?
24/08/18, 23:23 - Jane: Bed
24/08/18, 23:23 - Jane: Obviously
24/08/18, 23:23 - Jane: It�s night time
24/08/18, 23:23 - Jane: You might get hurt
24/08/18, 23:23 - Jane: Dark is scawy
24/08/18, 23:24 - John: I've always wanted to get into a fight
24/08/18, 23:24 - Jane: Hm
24/08/18, 23:24 - Jane: What kinda fight
24/08/18, 23:24 - John: Fist fight
24/08/18, 23:24 - John: But anyway
24/08/18, 23:24 - John: Brb
24/08/18, 23:25 - Jane: Ok?
24/08/18, 23:46 - Jane: Guess you went to sleep or something
24/08/18, 23:46 - Jane: I  you?
24/08/18, 23:46 - Jane: ?
24/08/18, 23:53 - John: That's one big ass heart
24/08/18, 23:53 - Jane: O
24/08/18, 23:53 - Jane: Ur still alive
24/08/18, 23:53 - John: You're having a heart attack!
24/08/18, 23:53 - Jane: Hallllooooo
24/08/18, 23:53 - Jane: I�m not
24/08/18, 23:53 - John: My brother just came home
24/08/18, 23:54 - John: Just a little fun fact for you
24/08/18, 23:54 - John: Lol
24/08/18, 23:54 - John: Anyway
24/08/18, 23:55 - John: If you want to whero again at anytime, you can just ask me
24/08/18, 23:55 - Jane: Oki
24/08/18, 23:55 - Jane: When I find my kat
24/08/18, 23:55 - Jane: Well I found her
24/08/18, 23:55 - Jane: But she�s sleeping in the sink
24/08/18, 23:55 - Jane: Sooo
25/08/18, 00:00 - John: Wake her uo
25/08/18, 00:00 - John: Up
25/08/18, 00:00 - Jane: Ye
25/08/18, 00:00 - Jane: No
25/08/18, 00:01 - Jane: She�s too cute
25/08/18, 00:01 - John: She's a cat
25/08/18, 00:01 - John: She'll get enough sleep
25/08/18, 00:01 - John: Or
25/08/18, 00:01 - John: You could just talk to me
25/08/18, 00:01 - Jane: Or
25/08/18, 00:01 - Jane: I couldn�t
25/08/18, 00:01 - Jane: My mom just said I�m too fat
